ID,Ref_No,Name,Category,Latitude,Longitude,Address,Postcode,Feature_Easting,Feature_northing,Distance,Pointx_class
78,109131407,Nero Express,Coffee Shop,51.51257627,-0.093586499,York House 74-82,EC4N 4SJ,532388,181017,7.7,1020013
79,109136714,Bench,Coffee Shop,51.52089549,-0.103084218,"The Goldsmiths Centre, Eagle Court",EC1M 5QD,531705,181925,14.6,1020013
80,105193331,Cafe Le Cordon Bleu,Coffee Shop,51.51877693,-0.124000235,"3, Pied Bull Yard, Bloomsbury Square",WC1A 2LP,530260,181652,30.5,1020013
81,104613792,Cafe Fresh,Coffee Shop,51.52220459,-0.046422156,"10, Globe Road",E1 4DU,535632,182174,5.8,1020013
82,104604567,Department of Coffee and Social Affairs,Coffee Shop,51.52074258,-0.079321068,"8-9, 201, Bishopsgate",EC2M 3TY,533354,181951,25.7,1020013
83,104045166,Blanche Eatery,Coffee Shop,51.49718667,-0.133631907,29,SW1P 2HY,529653,179234,12.2,1020013
84,104039483,Elliot's,Coffee Shop,51.50564758,-0.091656612,12,SE1 9AD,532542,180250,12.5,1020013
85,103351382,Dose Espresso,Coffee Shop,51.51942188,-0.099268067,69-70,EC1A 9EJ,531974,181768,9.9,1020013
86,103351388,Cafe De Livio,Coffee Shop,51.51796673,-0.102701433,"12b, Smithfield Street",EC1A 9LA,531740,181600,25.2,1020013
87,102645100,The Larder,Coffee Shop,51.52821157,-0.051283037,"241-245, Globe Road",E2 0JD,535277,182833,12.7,1020013
88,103343207,Starbucks Coffee Co UK Ltd,Coffee Shop,51.50729649,-0.073704576,"St. Katharine Docks, St. Katharines Way",E1W 1LD,533783,180466,24.6,1020013
89,102672524,Taylor St. Baristas,Coffee Shop,51.51469544,-0.086219663,125,EC2N 1AR,532893,181266,20,1020013
90,102651207,Pure,Coffee Shop,51.51915603,-0.135933798,47,W1T 1TD,529431,181673,11.9,1020013
91,95798385,Pret A Manger,Coffee Shop,51.50889213,-0.137981163,Nuffield House,W1J 0DS,529318,180528,17,1020013
92,95241726,Caffe Nero,Coffee Shop,51.51654006,-0.085738774,Winchester House 1,EC2N 2DB,532921,181472,15.6,1020013
93,95851829,Costa Coffee,Coffee Shop,51.51458267,-0.095866385,138,EC2V 6BJ,532224,181236,19.9,1020013
94,95851231,Sun Cafe,Coffee Shop,51.52469613,-0.09955299,"63a, Goswell Road",EC1V 7EN,531939,182354,8.7,1020013
95,95852893,Papa Bruno,Coffee Shop,51.4956459,-0.128926293,"55, Marsham Street",SW1P 3DP,529984,179071,18.5,1020013
96,95851111,Rosie Tate,Coffee Shop,51.50547658,-0.097182659,"1-2, 11-17, Great Guildford Street",SE1 0HS,532159,180221,10.1,1020013
97,95845813,Albion,Coffee Shop,51.52454248,-0.076335691,"2a, Boundary Street",E2 7JE,533550,182379,9.9,1020013
98,95820964,Skylight Cafe,Coffee Shop,51.51804418,-0.073798848,64-68,E1 6LT,533745,181661,11,1020013
99,95788916,J A Cafe,Coffee Shop,51.5230293,-0.101020663,4,EC1M 5PU,531842,182166,22.3,1020013
100,95787791,Riverside Terrace Cafe,Coffee Shop,51.50576666,-0.116825455,"2, South Bank Centre, The Royal Festival Hall, South Bank",SE1 8XX,530795,180218,56.1,1020013
101,95776368,Troia Cafe,Coffee Shop,51.50224533,-0.117619012,"1, 3, Belvedere Road",SE1 8XT,530750,179825,18.9,1020013
102,95441859,Ruskins Cafe,Coffee Shop,51.51787457,-0.12549308,41b,WC1A 1LT,530159,181549,9.9,1020013
103,95430339,Nero Express,Coffee Shop,51.52007721,-0.104199289,"Warwick House, 63, Cowcross Street",EC1M 6EG,531630,181832,8,1020013
104,95428751,To A Tea,Coffee Shop,51.51510302,-0.104117574,"14a, Farringdon Street",EC4A 4AB,531650,181279,18.5,1020013
105,95401712,Zaza's Cafe Bar,Coffee Shop,51.51785538,-0.062881284,117,E1 1HJ,534503,181660,9.5,1020013
106,95312912,Nero Express,Coffee Shop,51.50314647,-0.113259209,"11, Station Concourse, Waterloo Station",SE1 7LY,531050,179933,70.3,1020013
107,159603325,Caffe Kimbo,Coffee Shop,51.50447326,-0.078665196,Off Weaver Lane The Queens Walk,SE1 2AA,533447,180143,25.7,1020013
108,156931282,Starbucks Coffee Co UK Ltd,Coffee Shop,51.51743669,-0.081175351,Lower Concourse,EC2M 7QA,533235,181580,40.3,1020013
110,125897342,Royal Quarter Cafe,Coffee Shop,51.49901931,-0.137475897,73,SW1E 6AL,529381,179431,17.1,1020013
111,124785688,Costa Coffee,Coffee Shop,51.50471551,-0.081378392,7,SE1 2AF,533258,180165,36.3,1020013
112,123999735,Lantana Cafe,Coffee Shop,51.52437816,-0.087183194,Unit 2,EC1Y 1HQ,532798,182341,20.9,1020013
113,124766200,Costa Coffee,Coffee Shop,51.52867288,-0.133281654,Unit 4 Platform 11 Euston Station,NW1 2DU,529588,182736,59.2,1020013
114,123118273,Lino's Cafe,Coffee Shop,51.50209802,-0.100118664,Unit 7 Moonraker Point,SE1 0FN,531965,179840,17.8,1020013
115,123136026,Starbucks Coffee Co UK Ltd,Coffee Shop,51.51525015,-0.135170849,Paramount House,W1F 8ZX,529495,181240,11.9,1020013
116,109097429,Cellarium Cafe & Terrace,Coffee Shop,51.49875784,-0.128395438,20,SW1P 3PA,530012,179418,10.1,1020013
117,108294477,Pret A Manger,Coffee Shop,51.53105536,-0.105761727,402,EC1V 4NJ,531490,183050,12.2,1020013
118,105220434,Street Coffee,Coffee Shop,51.49929415,-0.080900102,163-167,SE1 3UW,533307,179563,19.4,1020013
120,104559199,Riverside Cafe Lambeth Pier,Coffee Shop,51.4949642,-0.121722248,Lambeth Pier,SE1 7SG,530486,179008,59.6,1020013
121,103273942,Pret A Manger,Coffee Shop,51.5208963,-0.079372259,Units 1-2,EC2M 3AB,533350,181968,33.4,1020013
122,103273933,Pret A Manger,Coffee Shop,51.49683513,-0.129064882,47,SW1P 3LT,529971,179203,9.5,1020013
123,103281708,Paul O'Gormon Building Courtyard Cafe,Coffee Shop,51.52329115,-0.134712627,Gower Street,WC1E 6BT,529504,182135,17.7,1020013
124,103273348,Pret A Manger,Coffee Shop,51.51434122,-0.107060519,143,EC4Y 1HY,531448,181189,15.5,1020013
125,103273082,Pret A Manger,Coffee Shop,51.51942661,-0.089596026,Unit 3 City Point,EC2Y 9AW,532645,181786,40.7,1020013
126,103307103,Caffe Nero,Coffee Shop,51.50518575,-0.083188659,Unit B,SE1 2DA,533131,180214,26.8,1020013
127,97789450,Caffe Nero,Coffee Shop,51.5014014,-0.125002036,Unit B Portcullis House,SW1A 2JH,530240,179718,32.1,1020013
128,149619087,Pret A Manger,Coffee Shop,51.51370984,-0.101379442,19-21,EC4M 7AE,531844,181129,9.4,1020013
129,149618268,Pret A Manger,Coffee Shop,51.51548534,-0.104404368,24 Farringdon Street,EC4A 4AB,531629,181321,13.5,1020013
130,91363047,Alfords Deli,Coffee Shop,51.51779715,-0.105562361,49,EC4A 4LL,531542,181576,25.5,1020013
131,85562099,Starbucks Coffee Co UK Ltd,Coffee Shop,51.49505696,-0.046488215,9 Surrey Quays Shopping Centre,SE16 7LL,535708,179155,63.9,1020013
132,85532718,Starbucks Coffee Co UK Ltd,Coffee Shop,51.51843503,-0.113895856,37-39,WC1V 6AE,530962,181632,18.4,1020013
133,85545730,Blue Onion,Coffee Shop,51.50808677,-0.124122349,The Arches,WC2N 6NG,530282,180463,14.8,1020013
134,149616031,Pret A Manger,Coffee Shop,51.50333426,-0.113193817,Unit Go1a Waterloo Station,SE1 7NQ,531054,179954,49,1020013
135,149616025,Pret A Manger,Coffee Shop,51.49937344,-0.130344071,Unit 2 Victoria Place Shopping Centre,SW1H,529875,179483,19.1,1020013
136,49751240,Wesley's Cafe,Coffee Shop,51.50004331,-0.130057315,Central Hall Westminster,SW1H 9NH,529893,179558,29.6,1020013
137,49135145,Starbucks Coffee Co UK Ltd,Coffee Shop,51.50757839,-0.099804234,The Gallery,SE1 9TG,531971,180450,86.6,1020013
138,48091377,Caffe Grana,Coffee Shop,51.49945521,-0.133784164,Unit 7-8,SW1H 0BB,529636,179486,26.9,1020013
139,47974498,Starbucks Coffee Co UK Ltd,Coffee Shop,51.50407029,-0.109200886,Waterloo East Station,SE1,531329,180043,19.6,1020013
140,48086347,Cafe in Crypt,Coffee Shop,51.50903746,-0.126778107,Trafalgar Square,WC2N 5DU,530095,180564,31.1,1020013
141,48018808,Pret A Manger,Coffee Shop,51.51247675,-0.114689618,182,WC2R 1EA,530924,180968,21,1020013
142,47969764,Starbucks Coffee Co UK Ltd,Coffee Shop,51.51699286,-0.068380543,Unit 5,E1 1DU,534124,181554,29.5,1020013
143,159236288,The Mess Hall,Coffee Shop,51.50196719,-0.098150133,"Brigade Court, 94, Southwark Bridge Road",SE1 8XT,532102,179829,18.3,1020013
144,159232987,Cafe Castello,Coffee Shop,51.49584923,-0.100738672,"Kiosk 4, Elephant & Castle Shopping Centre, Elephant & Castle",SE1 6TG,531940,179144,20.3,1020013
145,125510913,Department of Coffee and Social Affairs,Coffee Shop,51.51969222,-0.075588742,"Old Spitalfields Market, 6a, Lamb Street",E1 6EA,533616,181841,58.2,1020013
146,124758474,Leaf & Bean,Coffee Shop,51.50098603,-0.052070052,"1, Rotherhithe Overground Station, Brunel Road",SE16 4LD,535303,179804,8.8,1020013
147,118142512,Lady Dinah's Cat Emporium,Coffee Shop,51.52526512,-0.070510019,"152-154, Bethnal Green Road",E2 6DG,533952,182470,13,1020013
149,131517559,Boost Juice Bars,Coffee Shop,51.51733194,-0.082853154,Ticket Hall B,EC2M 7PN,533118.9,181565.3,19.4,1020013
150,109077217,Costa Coffee,Coffee Shop,51.51616894,-0.062044811,New Road,E1 2AX,534566,181474,11,1020013
151,104581573,Delice de France Within Liverpool Street Railway Station,Coffee Shop,51.51905872,-0.081381042,Liverpool Street Station,EC2M 7PY,533216,181760,66.6,1020013
152,103273923,Pret A Manger,Coffee Shop,51.53103072,-0.126062873,The Circle,N1C,530082,183011,64.9,1020013
153,149617970,Pret A Manger,Coffee Shop,51.51578014,-0.112088615,Unit 6,WC2A 1DD,531095,181340,18.8,1020013
154,48030376,Temple Bar,Coffee Shop,51.51104043,-0.113725708,Temple Station,WC2R 2PH,530995,180810,19.2,1020013
155,146698094,Soho Coffee Co.,Coffee Shop,51.51136195,-0.118626744,138-139,WC2R,530654,180837,12.9,1020013
156,146698042,Nero Express,Coffee Shop,51.53132176,-0.124018015,"5, Kings Cross Station",N1C 4AL,530223,183047,71.6,1020013
157,154151945,Yellow Warbler,Coffee Shop,51.50449714,-0.056646613,"121a, Wapping High Street",E1W 2NX,534975,180186,9.6,1020013
158,152920617,Nero Express,Coffee Shop,51.50461842,-0.085892619,"Su41, London Bridge Station, Tooley Street",SE1 9SP,532945,180146,61.6,1020013
159,150629213,Black Sheep Coffee,Coffee Shop,51.50759272,-0.106807053,"4-5a, Southbank Central, Hatfields",SE1 9PG,531485,180439,40.9,1020013
160,157512913,Starbucks Coffee Co UK Ltd,Coffee Shop,51.50461842,-0.085892619,"London Bridge Station, Tooley Street",SE1 2HD,532945,180146,61.6,1020013
161,150971961,Costa Coffee,Coffee Shop,51.51324235,-0.077100029,"1a, Aldgate",EC3N,533530,181121,12.9,1020013
162,145838589,Caffe Nero,Coffee Shop,51.50322272,-0.091296831,"145, Borough High Street",SE1 1NP,532574,179981,14.5,1020013
163,145838022,Pure,Coffee Shop,51.50336256,-0.112717152,"Station Concourse, Waterloo Station",SE1 7LY,531087,179958,36.6,1020013
164,145840963,Upper Fleet Bakery,Coffee Shop,51.52642739,-0.129495533,"Imperial Hotels London, 14, Upper Woburn Place",WC1H,529857,182493,16.7,1020013
165,145838848,Shippo,Coffee Shop,51.50205897,-0.118894643,Belvedere Road,SE1 7PB,530662,179802,61.1,1020013
166,142056883,Coco Di Mama,Coffee Shop,51.51528356,-0.090302653,"38, Coleman Street",EC2R 5EH,532608,181324,11,1020013
167,129156218,Caffe Nero,Coffee Shop,51.51610471,-0.127286651,Central St. Giles,WC2H 8AR,530039.6,181349,30.9,1020013
168,129885269,Caffe Vergnano 1882,Coffee Shop,51.51121109,-0.079909339,"4, 70, Mark Lane",EC3R,533341,180890,14.4,1020013
169,125512259,Bell Boi,Coffee Shop,51.52344892,-0.071731375,104,E1 6HR,533872.6,182265.8,9.7,1020013
170,126936635,Toi & Moi Cafe,Coffee Shop,51.5148955,-0.135884343,38,W1F 8RT,529446.5,181199.3,7.5,1020013
171,127753710,Falafel Cafe,Coffee Shop,51.52652956,-0.137838352,141-153,NW1 2PB,529278,182489.6,13.8,1020013
172,127759025,Origin,Coffee Shop,51.52630396,-0.081102434,66,EC2A 3PE,533214.2,182566.2,7.3,1020013
173,123173529,Kitchen @ the Bridge,Coffee Shop,51.50458393,-0.09542876,73-81,SE1 0NQ,532283.3,180124.9,16.3,1020013
174,123172922,Hej Coffee,Coffee Shop,51.49713113,-0.08115664,1,SE1 3UN,533295.5,179322,13.6,1020013
175,118150823,Clifton's Cafe,Coffee Shop,51.52361381,-0.083438387,109-123,EC2A 4LD,533060,182262.8,28.9,1020013
176,118152529,A M T Coffee,Coffee Shop,51.51906047,-0.081378086,Unit 35 The Concourse Liverpool Street Station,EC2M 7PY,533216.2,181760.2,66.9,1020013
177,118151524,Bulldog Edition,Coffee Shop,51.52574427,-0.077236502,"Ace Hotel, 100",E1 6JQ,533484,182511,32.4,1020013
178,118145550,Coco Di Mama,Coffee Shop,51.51087646,-0.085017837,9,EC3M 1BN,532987.5,180843.5,18.5,1020013
179,118139923,Cafe Mandalay,Coffee Shop,51.53104083,-0.08950633,91,N1 7QJ,532617.5,183077.7,16,1020013
180,107674357,Silvios Coffee House,Coffee Shop,51.52485759,-0.082234337,6,EC2A 4QW,533139.9,182403.3,3.7,1020013
181,107676602,Little Venice Cafe,Coffee Shop,51.5173892,-0.119159591,7,WC1V 7DX,530599.8,181506.3,30.9,1020013
182,107674741,Paper & Cup,Coffee Shop,51.52616973,-0.076969177,18,E2 7JP,533501.3,182558.8,18.3,1020013
183,105186061,Bloomsbury Coffee House,Coffee Shop,51.52518345,-0.126379353,20,WC1H 9RE,530076.7,182360.2,11.4,1020013
184,104604615,Trents,Coffee Shop,51.52150218,-0.109861308,90,EC1N 7TT,531233.1,181980.3,12.6,1020013
185,104605476,Ground Control,Coffee Shop,51.52977376,-0.110713929,61,EC1R 1UR,531150.2,182898.6,17,1020013
186,104605440,Uni B,Coffee Shop,51.51810526,-0.067671889,75,E1 5NL,534169.9,181679,13.1,1020013
187,104606290,Pitfield London,Coffee Shop,51.52727385,-0.083882979,31-35,N1 6HB,533018.5,182669,12.5,1020013
188,104041046,Carlo's Kitchen @ Union St,Coffee Shop,51.50390273,-0.102556558,Unit 3 202-206,SE1 0LX,531790.6,180036.3,16.3,1020013
189,96593544,Pret A Manger,Coffee Shop,51.50813837,-0.068247817,1,E1W 1YN,534159.2,180569.6,32.6,1020013
190,95844272,Piazza,Coffee Shop,51.52021513,-0.097721536,"136, Aldersgate Street",EC1A 4JQ,532079,181859,20.1,1020013
191,95849601,Art Cafe,Coffee Shop,51.49737496,-0.103664721,17,SE1 6JX,531732.5,179308.4,5.7,1020013
192,95849191,Lse Garrick,Coffee Shop,51.51355227,-0.116537531,Columbia House 69,WC2B 4RR,530792.7,181084.3,10.1,1020013
193,95428753,The Cafe at St. Pauls,Coffee Shop,51.51370164,-0.098320062,,EC4M 8AE,532056.3,181133.6,47.8,1020013
194,95851350,Vita,Coffee Shop,51.51570256,-0.090851555,13-14,EC2V 5BQ,532568.7,181369.6,9.1,1020013
195,95852891,Sapori,Coffee Shop,51.49516647,-0.127453427,60,SW1P 2AF,530087.6,179020.3,11,1020013
196,95845812,Munch Munch,Coffee Shop,51.5270403,-0.057274112,470,E2 0EA,534864.9,182691.7,16,1020013
197,95534705,Delice De France,Coffee Shop,51.52866403,-0.133290666,Platform 12,NW1 2DU,529587.4,182735,60.3,1020013
198,95496599,Caffe Ritazza,Coffee Shop,51.50258258,-0.112864647,"14, Station Concourse, Waterloo Station",SE1 7LY,531079,179871,88.8,1020013
199,95448572,Pret A Manger,Coffee Shop,51.52438007,-0.087190322,1,EC1Y 1HQ,532797.5,182341.2,20.6,1020013
200,158557964,Caffe Nero,Coffee Shop,51.51868365,-0.081540944,Mobile Unit 11,EC2M 7PY,533206,181718,50,1020013
201,158557966,Caffe Nero,Coffee Shop,51.50450107,-0.086416274,Unit A London Bridge Station,SE1 9TH,532909,180132,35.5,1020013
202,145834335,Cafe Frei,Coffee Shop,51.51435733,-0.06997653,61a Alie Street,E1 8EB,534021,181258,14.5,1020013
203,141439568,Costa Coffee,Coffee Shop,51.51975818,-0.076868827,Units 4 And 5,E1 6AG,533527,181846,81.7,1020013
204,133149729,Caffe Nero,Coffee Shop,51.5178404,-0.119426391,Unit 1a,WC1V,530580,181556,17.3,1020013
205,129137629,Mont Ruby Tea,Coffee Shop,51.51222069,-0.131110843,100,W1D 5EE,529785.3,180910.3,10.6,1020013
206,129881550,Costa Coffee,Coffee Shop,51.5118749,-0.103574252,Blackfriars Station,EC4V 4DY,531697,180921,10.6,1020013
207,129126789,The Potato Project,Coffee Shop,51.51515037,-0.13562604,27,W1F 8GZ,529463.7,181228.1,8.5,1020013
208,129120270,Costa Coffee,Coffee Shop,51.51129098,-0.128242105,Leicester Square Station,WC2H 0AP,529987,180812,6.6,1020013
209,127741962,Press,Coffee Shop,51.51467911,-0.097375684,1,EC2V 6AA,532119,181244,20.2,1020013
210,149624861,Costa Coffee,Coffee Shop,51.51354475,-0.094526095,Unit 4,EC2V 6AU,532320,181123,12.5,1020013
211,127713231,Taylor Street Baristas,Coffee Shop,51.51467887,-0.097361281,1,EC2V 6AA,532120,181244,19.5,1020013
212,127715785,Wild Bean Cafe,Coffee Shop,51.49444169,-0.09048235,197-211,SE1 4AG,532656,179006,27.4,1020013
213,123999732,Unity Kitchen,Coffee Shop,51.50302194,-0.080812653,160,SE1 2QH,533302.2,179977.7,27.2,1020013
214,124026956,Wrap It Up,Coffee Shop,51.51965916,-0.134604457,19-19a,W1T 2PH,529521.8,181731.3,10.5,1020013
215,118130240,Costa Coffee,Coffee Shop,51.50467422,-0.086005556,London Bridge Station,SE1 9SP,532937,180152,51.6,1020013
216,108294481,Pret A Manger,Coffee Shop,51.49676955,-0.139469311,143,SW1E 5NH,529249,179177.3,13.3,1020013
217,108294478,Pret A Manger,Coffee Shop,51.52458322,-0.103132783,182,EC1V 4JZ,531691,182335,17,1020013
219,104583336,Pauls Cafe,Coffee Shop,51.51001723,-0.122028389,79,WC2R 0DE,530421.8,180681.4,10.8,1020013
220,104577827,Artisserie,Coffee Shop,51.52325166,-0.105206255,44,EC1R 0EG,531551,182183.2,16.7,1020013
221,104580928,Pronto Grill Bar,Coffee Shop,51.49665444,-0.133526868,51,SW1P 2HY,529661.8,179175,9.8,1020013
222,104551603,Curators Coffee,Coffee Shop,51.51210907,-0.082579555,9-9a,EC3M 7JJ,533153.1,180985,8.6,1020013
223,103302080,Cafe Z,Coffee Shop,51.52361561,-0.083438311,5,EC2A 4HJ,533060,182263,28.9,1020013
224,149619080,Pret A Manger,Coffee Shop,51.51766081,-0.082232534,Unit 58 Broadgate Link,EC2M 7PY,533161,181603,29.5,1020013
225,95733984,The Worlds Larder Ltd,Coffee Shop,51.52820802,-0.051286072,241-243,E2 0JD,535276.8,182832.6,13,1020013
226,95722033,Starbucks Coffee Co UK Ltd,Coffee Shop,51.49642885,-0.137437428,Staff Entrance Harrods,SW1X 7XL,529391,179143,26.8,1020013
227,91421494,Place Cafe Within Place School,Coffee Shop,51.52729787,-0.128988438,17,WC1H 9PY,529889.7,182590.7,19.3,1020013
228,91429871,Pret A Manger,Coffee Shop,51.50881573,-0.138266727,Nuffield House 41-46,W1J 0DS,529298.4,180519,7.3,1020013
229,91440274,Starbucks Coffee Co UK Ltd,Coffee Shop,51.51513001,-0.130448409,Unit 1,WC2H 0EA,529823,181235,10.4,1020013
230,149617684,Pret A Manger,Coffee Shop,51.51972498,-0.079781894,Unit 21 Exchange Arcade,EC2M 3WA,533325,181837,41.5,1020013
231,85562417,Cabbie Shak Ltd,Coffee Shop,51.50349149,-0.101095274,Harling House 47-51,SE1 0BS,531893.2,179993.2,13.5,1020013
232,149615750,Pret A Manger,Coffee Shop,51.51624917,-0.130705256,Unit 1 Ticket Hall,W1D 1AN,529802,181359,15.6,1020013
233,146688989,Starbucks Coffee Co UK Ltd,Coffee Shop,51.53161786,-0.123977006,Northern Ticket Hall,NW1 2AL,530225,183080,90.1,1020013
234,146686986,Benugo Espresso Bar,Coffee Shop,51.53142774,-0.126147494,St Pancras Station,N1C 4QP,530075,183055,54.2,1020013
235,54280892,The Dayrooms,Coffee Shop,51.5215157,-0.113885333,10,WC1X 8PN,530953.9,181974.6,7.6,1020013
236,49134809,Reynolds,Coffee Shop,51.51662716,-0.138980204,34-35,W1W 8DW,529226.8,181386.4,17.9,1020013
237,49129324,Luis Cafe,Coffee Shop,51.52402645,-0.111372758,25,EC1R 4SP,531121,182258.3,17.1,1020013
238,47983282,Caffe Nero,Coffee Shop,51.51639178,-0.082386731,22-24,EC2M 1RP,533154,181461.6,12.5,1020013
239,158048579,Yi Fang,Coffee Shop,51.51936398,-0.075862033,"K2, Old Spitalfields Market, Crispin Place",E1 6EW,533598,181804,33.5,1020013
240,158046879,Crussh,Coffee Shop,51.51023982,-0.083093259,36,EC3R 8DU,533122.9,180776.2,17.4,1020013
241,159227363,Bambusa,Coffee Shop,51.51830338,-0.13433987,Flat 1-4 6,W1T 2LR,529544,181581,13.4,1020013
242,159228118,Yaki Yaki,Coffee Shop,51.51098457,-0.126510891,Basement and Ground Floor 4,WC2N 4LH,530108,180781,9.8,1020013
243,159236292,Pure,Coffee Shop,51.50479877,-0.0842712,56-60,SE1,533057,180169,24.5,1020013
244,159236285,Marley's Coffee & Bakery,Coffee Shop,51.50461662,-0.085892694,Unit 181 London Bridge Station,SE1 9SP,532945,180145.8,61.7,1020013
245,159228546,Cakes & Bubbles,Coffee Shop,51.5102484,-0.136182122,68,W1B 5RL,529439,180682,18.1,1020013
246,159230498,Bibi's Kitchen,Coffee Shop,51.5113746,-0.135185002,5,W1D 7DP,529505,180809,9.6,1020013
247,159230492,Twisterlicious,Coffee Shop,51.5158439,-0.131739397,19,W1D 3QN,529731.4,181312.1,14.8,1020013
248,159230476,Woo Tea,Coffee Shop,51.51129539,-0.13190243,26,W1D 6QL,529733,180806,9.8,1020013
249,159233674,Insomnia,Coffee Shop,51.51651557,-0.13111377,14-28,W1D,529772.9,181387.9,16.3,1020013
250,159233669,Redemption Roasters,Coffee Shop,51.51916377,-0.083956736,The Pavilion 3,EC2M 2QS,533037,181767,81.8,1020013
251,159228575,Yi Fang,Coffee Shop,51.51226162,-0.131027021,Ground Floor 104,W1D 5EF,529791,180915,9.7,1020013
252,158045226,Victus Soul,Coffee Shop,51.51197436,-0.07326225,90,E1 8AL,533800,180987,13.5,1020013
253,159226960,Shot It,Coffee Shop,51.5184382,-0.124187118,10,WC1A 2JL,530248,181614,9,1020013
254,159233555,Mouse Tail Canada Water,Coffee Shop,51.49828366,-0.046766622,13,SE16 7FU,535679.1,179513.3,24.7,1020013
255,159233372,Time for Terrys Coffee & More,Coffee Shop,51.5006778,-0.098491976,156,SE1 1PE,532082,179685,14.2,1020013
256,159235631,Press Coffee & Co,Coffee Shop,51.5156961,-0.111616466,28,WC2A 1LB,531128,181331.5,9,1020013
257,159233440,No12,Coffee Shop,51.49908027,-0.060248452,12,SE16 4NY,534741,179577,13.6,1020013
258,159228269,Caffe Monza,Coffee Shop,51.52382809,-0.123273688,Unit K1,WC1N 1AP,530296,182215,10.7,1020013
259,159230483,Machi Machi,Coffee Shop,51.51208411,-0.132302515,59,W1D 6LF,529703,180893,23,1020013
260,158051946,Visions Canteen,Coffee Shop,51.52468945,-0.07827995,31,EC2A 3EY,533414.7,182391.8,15.7,1020013
261,159233344,Ko Coffee House,Coffee Shop,51.53117193,-0.120275563,258,N1 9JY,530483,183037,14.7,1020013
262,159233309,Formative Coffee,Coffee Shop,51.4979711,-0.135628401,4,SW1H 0QD,529512.2,179317.7,17.5,1020013
263,159228266,Wake Up Cafe,Coffee Shop,51.52790847,-0.12482149,112,WC1H 9NT,530177,182666,14,1020013
